symbol,interval,group,variant,start,end,bars,cost_mult,cagr,sharpe,maxdd,calmar,bh_cagr,bh_sharpe,bh_maxdd,excess_cagr,cost3_sharpe,n_trades,avg_leverage,max_leverage,pct_time_in_market,oos_start,oos_cagr,oos_sharpe,oos_maxdd,oos_bh_cagr,oos_bh_sharpe,params
AUDUSD,4h,fx,overlay_ema300_plain,2001-01-02,2023-09-29,36246,1.0,0.010738834455085833,0.14662463790039723,-0.5571643839108614,0.019274086365154125,0.005944874781333764,0.1098233391470173,-0.4979204339963834,0.0047939596737520684,0.08412894988714488,290,1.4712778062654237,3.0,0.6536997185896375,2014-08-25,-0.044060408694111874,-0.21635498502246428,-0.5571643839108614,-0.03944414667036755,-0.31631305893702416,"{""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": false}"
DBC,1d,etf_commodities,pure_trend,2006-06-01,2025-12-30,4927,1.5,0.041843228005578936,0.4248642006003523,-0.3326589966614605,0.12578414660512502,0.006389815665883258,0.1292037231583471,-0.7636263710777357,0.03545341233969568,0.405826274873206,70,0.797056487564534,1.615648394990038,0.6103105337933834,2018-03-01,0.03284271956197404,0.3475301353824924,-0.3010772199473417,0.06276422066607878,0.42603676441082394,"{""bull_overlay"": 0.0, ""rerisk"": false}"
ETH-USD,1d,crypto,small_overlay_025,2017-11-09,2026-05-29,3124,4.0,0.11290789510540189,0.8055970044288895,-0.16051979506792935,0.703389230329014,0.2395814495697821,0.6827005054137555,-0.9396254038538314,-0.12667355446438022,0.7832201559147671,42,0.21577306980792055,0.4989369440143012,0.8050576184379001,2022-12-26,0.07565842327480032,0.5650319303231928,-0.13786915661864985,0.15968306929034104,0.5479361085432587,"{""bull_overlay"": 0.25}"
EURUSD,4h,fx,lower_risk_3pct,2000-05-30,2020-06-30,31713,1.0,0.037423796103872364,0.41853943802904275,-0.4343160256929559,0.08616720058662881,0.009383992212553371,0.14449167740398022,-0.35319467865842236,0.028039803891318993,0.3486142826826803,161,1.3218347103311194,3.0,0.6103806010153565,2012-06-18,-0.029557601434500258,-0.2641514424618695,-0.4343160256929559,-0.014055077129744187,-0.12991690244871268,"{""risk_pct_per_trade"": 0.03}"
GBPUSD,4h,fx,lower_risk_3pct,2001-01-02,2023-09-29,36248,1.0,0.013829332251390491,0.18248041128909973,-0.46603757475089236,0.029674285938816377,-0.009069542414458565,-0.04703377728644709,-0.4994080037887758,0.022898874665849056,0.10381842708419503,269,1.407301664238651,3.0,0.6074817920988744,2014-08-25,0.008965222433972908,0.13550125874362742,-0.2538274105419659,-0.03308552515700669,-0.29605544437576625,"{""risk_pct_per_trade"": 0.03}"
GLD,1d,etf_gold,no_short,2010-01-04,2026-05-29,4126,1.5,0.0626227664304202,0.6709459789705382,-0.2744175513581584,0.22820248238673177,0.08482604135088301,0.5755442940827197,-0.45555012734257017,-0.022203274920462812,0.6422504132509905,60,0.7679090046609823,1.672363608766282,0.6626272418807562,2019-11-06,0.1384559808193786,1.2277318065948515,-0.1544271906724537,0.1835203231471665,1.0332850954092248,"{""allow_short"": false}"
IWM,1d,etf_equity,lower_risk_3pct,2010-01-04,2026-05-29,4126,1.5,0.033550914452181724,0.44301415632165175,-0.15409651124325308,0.21772663236495374,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.0779126183804908,0.41921249675246824,55,0.4740805347267156,0.992958889256937,0.8596703829374697,2019-11-06,0.058707072012518235,0.7011611270225288,-0.14207667306310823,0.1103103896082005,0.5333490910750478,"{""risk_pct_per_trade"": 0.03}"
QQQ,1d,etf_equity,no_short,2010-01-04,2026-05-29,4126,1.5,0.0994618494429742,0.8952779226684243,-0.151060894085844,0.6584222213490449,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.09465556290292487,0.8789481771585242,37,0.7844978981072256,1.7626174745494692,0.8463402811439651,2019-11-06,0.12396586421390587,1.0427813890763769,-0.151060894085844,0.2274537962836678,0.9557355254651215,"{""allow_short"": false}"
SPXUSD,4h,index_cfd,lower_risk_3pct,2010-11-14,2026-04-30,24586,1.5,0.046307624224661836,0.4229575983114611,-0.3076989442697541,0.15049653268899352,0.12334029453924633,0.7722895715676757,-0.3542744373926221,-0.0770326703145845,0.3574129076392187,89,1.1509508573019966,3.0,0.8170910274139754,2020-02-23,0.03812672451752297,0.3418240306947306,-0.3076989442697541,0.13557816936582534,0.734803572414492,"{""risk_pct_per_trade"": 0.03}"
SPY,1d,etf_equity,no_short,2010-01-04,2026-05-29,4126,1.5,0.07863682776665182,0.7647493164394626,-0.2117885519468541,0.37129876494167086,0.1428181985831125,0.8660915248826427,-0.33717266428472736,-0.06418137081646069,0.7397658934812794,39,0.9670205991170724,2.673128415694648,0.8380998545807077,2019-11-06,0.08020165783896527,0.7454713002224129,-0.2117885519468541,0.1636068305353675,0.8540775591608558,"{""allow_short"": false}"
