variant,params,cost3_sharpe,n_trades,avg_leverage,max_leverage,pct_time_in_market,full_strat_cagr,full_strat_sharpe,full_strat_maxdd,full_strat_calmar,full_strat_total,full_bh_cagr,full_bh_sharpe,full_bh_maxdd,full_bh_total,full_excess_cagr,full_excess_total,full_beats_bh_total,full_beats_bh_sharpe,full_beats_bh_dd,pre2013_strat_cagr,pre2013_strat_sharpe,pre2013_strat_maxdd,pre2013_strat_calmar,pre2013_strat_total,pre2013_bh_cagr,pre2013_bh_sharpe,pre2013_bh_maxdd,pre2013_bh_total,pre2013_excess_cagr,pre2013_excess_total,pre2013_beats_bh_total,pre2013_beats_bh_sharpe,pre2013_beats_bh_dd,post2013_strat_cagr,post2013_strat_sharpe,post2013_strat_maxdd,post2013_strat_calmar,post2013_strat_total,post2013_bh_cagr,post2013_bh_sharpe,post2013_bh_maxdd,post2013_bh_total,post2013_excess_cagr,post2013_excess_total,post2013_beats_bh_total,post2013_beats_bh_sharpe,post2013_beats_bh_dd
rerisk_rebalance_i10+overlay_1x_ema300_volmult,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": true, ""rerisk"": true, ""rerisk_inertia"": 0.1}",0.9605018788944523,158,1.565933192770898,3.0,0.7486953883495145,0.2180198048158315,0.9903445639935753,-0.34598485842718896,0.6301426189773933,70.32915000917524,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.09321228630979506,58.589493938305,True,True,True,0.22797784646345987,0.9926364159174533,-0.34598485842718896,0.6589243457064086,6.11484806814849,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.10044769932828546,3.966697989982779,True,True,True,0.21192539560965473,0.9966044588509343,-0.34536897688495305,0.6136202432572566,9.187209899813983,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.0901993737557989,6.183770997642562,True,True,False
rerisk_rebalance_i10+overlay_0.75x_ema300_volmult,"{""bull_overlay"": 0.75, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": true, ""rerisk"": true, ""rerisk_inertia"": 0.1}",0.9879632589680702,158,1.360457258066333,3.0,0.7486953883495145,0.20666711811588412,1.0188247069618137,-0.29744019948245526,0.6948190543022902,57.24704030517936,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08185959960984768,45.507384234309114,True,True,True,0.20967236488429464,1.0238925177222669,-0.29744019948245526,0.7049227550584074,5.163738243441691,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.08214221774912023,3.01558816527598,True,True,True,0.20600758393964091,1.0218070724214816,-0.29391294026316017,0.7009136234532184,8.602482218721107,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.08428156208578508,5.599043316549687,True,True,False
rerisk_rebalance_i10+research_overlay_1x_ema50_200,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 1.0, ""research_overlay_fast_days"": 50, ""research_overlay_mode"": ""ema_cross"", ""research_overlay_slow_days"": 200}",1.0020877332686795,58,1.3569618146724176,3.0,0.780370145631068,0.21383784375593318,1.0209617519857004,-0.3438941161392447,0.621813034071653,65.21387408610683,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08903032524989674,53.47421801523659,True,True,True,0.20878235550859148,1.0031205651828086,-0.3198431567937119,0.6527648038543126,5.120545583175493,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.08125220837341707,2.9723955050097817,True,True,True,0.21958853956243263,1.0417774047876172,-0.3438941161392447,0.6385353201958244,9.992910653007929,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09786251770857679,6.9894717508365085,True,True,False
rerisk_rebalance_i25+overlay_1x_ema300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_inertia"": 0.25}",0.9466379253157078,152,1.3656091945715674,3.0,0.777245145631068,0.21030948167392083,0.9739957059894657,-0.38462339811973256,0.5467932598537645,61.17205461364885,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08550196316788439,49.4323985427786,True,True,True,0.20359702189307427,0.9489592688069053,-0.37127225187793855,0.5483766181373821,4.874243219461204,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07606687475789986,2.7260931412954927,True,True,True,0.2173777549291822,1.0003588553923293,-0.38462339811973256,0.5651703874279456,9.754671063854824,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09565173307532637,6.7512321616834035,True,True,False
rerisk_rebalance_i25+overlay_1x_ema200,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 200, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_inertia"": 0.25}",0.9137300381855754,217,1.379136024390156,3.0,0.7495145631067961,0.2013244606865876,0.948049075319317,-0.39008424275707887,0.5161050835164352,51.914750369988184,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07651694218055116,40.175094299117944,True,True,True,0.20097544557125446,0.9509180224063897,-0.31387236688829045,0.6403094594268094,4.753128778854714,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07344529843608005,2.6049787006890033,True,True,True,0.20330702940284184,0.9522422150210305,-0.39008424275707887,0.5211874952084371,8.346015403695038,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.081581007548986,5.3425765015236175,True,True,False
rerisk_rebalance_i10+research_overlay_1x_absmom252,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 1.0, ""research_overlay_days"": 252, ""research_overlay_mode"": ""abs_mom""}",0.9735849279464747,154,1.3755179891692946,3.0,0.7418082524271845,0.21210203823311335,1.002186302312422,-0.3539133963698573,0.5993049158598565,63.1951240357147,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08729451972707691,51.45546796484446,True,True,True,0.20021369954789492,0.940674507074081,-0.3539133963698573,0.5657138203908549,4.718358554010151,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07268355241272051,2.57020847584444,True,True,True,0.22333167708465895,1.0601676519734773,-0.3290851079666488,0.6786441308893641,10.407342874263751,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.10160565523080312,7.403903972092331,True,True,False
overlay_1x_ema300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema""}",0.9100858234375478,152,1.3712926753563541,3.0,0.777245145631068,0.20363598799479865,0.936934500836063,-0.3887836226709698,0.5237771760955506,54.161990298925296,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07882846948876221,42.42233422805505,True,True,True,0.19966651947674063,0.9180759369320354,-0.37127225187793667,0.5377900407768289,4.6934985261899556,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07213637234156622,2.5453484480242445,True,True,True,0.20850080681311756,0.9585187190796457,-0.3887836226709698,0.5362900972543619,8.844973495339069,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.08677478495926172,5.841534593167649,True,True,False
rerisk_rebalance_i10+research_overlay_1x_absmom300,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 1.0, ""research_overlay_days"": 300, ""research_overlay_mode"": ""abs_mom""}",0.9579354792178216,141,1.3673741531365737,3.0,0.7582524271844661,0.2102618139369361,0.9848280896693663,-0.42457046434935464,0.4952341992492529,61.11909614494516,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08545429543089966,49.37944007407492,True,True,True,0.19965732318995655,0.9213618194229055,-0.42457046434935464,0.4702572127713293,4.6930815394921765,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07212717605478214,2.5449314613264655,True,True,False,0.22045364645586418,1.045990563259252,-0.3539216140122434,0.6228883394734911,10.087447085089794,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09872762460200835,7.084008182918374,True,True,False
rerisk_pyramid_i25+overlay_1x_ema300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_increase_only"": true, ""rerisk_inertia"": 0.25}",0.9182653371324582,152,1.3768009892926805,3.0,0.777245145631068,0.20670375414381614,0.9451829055257294,-0.4039544604855809,0.5117006355007049,57.28531567597527,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.0818962356377797,45.54565960510503,True,True,True,0.19889416868883103,0.9146938463173679,-0.37127225187793667,0.5357097593014345,4.65857300413291,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07136402155365662,2.5104229259671986,True,True,True,0.2146438544137499,0.975895807857288,-0.4039544604855809,0.5313565646873494,9.466610575030026,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09291783255989405,6.463171672858606,True,True,False
rerisk_rebalance_i10+overlay_1x_ema300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_inertia"": 0.1}",0.9575518740329443,152,1.3583970190955286,3.0,0.777245145631068,0.2076581382667939,0.9859735565588561,-0.37412808799329966,0.5550455711053507,58.29089961530577,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08285061976075747,46.55124354443552,True,True,True,0.19804339824164208,0.9382651709181967,-0.36576350530713786,0.5414520458385854,4.620323492153298,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07051325110646767,2.4721734139875866,True,True,True,0.21704898143306428,1.0317888686238115,-0.37412808799329966,0.5801461809436544,9.719648944080749,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09532295957920844,6.716210041909329,True,True,False
rerisk_pyramid_i10+overlay_1x_ema300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_increase_only"": true, ""rerisk_inertia"": 0.1}",0.9118543012422756,152,1.3828338105007782,3.0,0.777245145631068,0.20581322114959466,0.9389203707962862,-0.40395446048557915,0.5094960974120548,56.36169548920581,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.08100570264355822,44.62203941833556,True,True,True,0.19778018631104843,0.9082801321785274,-0.37127225187793733,0.5327093132079054,4.60853681151959,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.07025003917587402,2.460386733353879,True,True,True,0.21393077182803188,0.9696800749979428,-0.40395446048557915,0.5295913097998061,9.39264855753431,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09220474997417605,6.389209655362889,True,True,False
overlay_1x_ema200,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 200, ""bull_overlay_ma_type"": ""ema""}",0.8771847161166663,217,1.3850297829209475,3.0,0.7495145631067961,0.19470050927882254,0.9108597268102117,-0.3942075495251862,0.4939035528703972,45.94847170031633,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.0698929907727861,34.20881562944609,True,True,True,0.19705350425293022,0.9191538861302228,-0.3138723668882938,0.6278141214102513,4.576110657943587,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.06952335711775581,2.4279605797778756,True,True,True,0.19453268304695337,0.9106170867489658,-0.3942075495251862,0.4934778222316225,7.555470770802954,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.07280666119309753,4.552031868631533,True,True,False
rerisk_pyramid_i25+overlay_1x_ema200,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 200, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_increase_only"": true, ""rerisk_inertia"": 0.25}",0.8855523545229212,217,1.3907418937702352,3.0,0.7495145631067961,0.19774550113444578,0.9192660187038078,-0.4092437615056783,0.4831973501731731,48.6067396902977,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07293798262840934,36.86708361942746,True,True,True,0.1962828357361628,0.9157067036535136,-0.3138723668882938,0.6253587650359143,4.541905226102182,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.06875268860098838,2.393755147936471,True,True,True,0.2006047279236296,0.9284074678652888,-0.4092437615056783,0.4901839607415645,8.095685314586262,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.07887870606977376,5.092246412414842,True,True,False
