symbol,interval,group,variant,start,end,bars,cost_mult,cagr,sharpe,maxdd,calmar,bh_cagr,bh_sharpe,bh_maxdd,excess_cagr,cost3_sharpe,n_trades,avg_leverage,max_leverage,pct_time_in_market,oos_start,oos_cagr,oos_sharpe,oos_maxdd,oos_bh_cagr,oos_bh_sharpe,params
XAUUSD,4h,gold_spot,headline,2004-06-11,2026-01-30,32960,1.0,0.1939718807802968,1.028991285002324,-0.2469112947399692,0.785593388850742,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.06916436227426037,0.9974845793809659,158,1.154981323361768,3.0,0.7486953883495145,2017-06-05,0.2485224879695227,1.173078871965629,-0.24478664163712538,0.16743314823906075,1.0756874855161316,{}
XAUUSD,4h,gold_spot,pure_trend,2004-06-11,2026-01-30,32960,1.0,0.16089352174407945,0.8846164926574659,-0.26174278795286654,0.6147008786849647,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.03608600323804301,0.8568992179544033,112,2.036254031733205,3.0,0.27848907766990294,2017-06-05,0.2206764631493181,1.0339954761591366,-0.19148765887420316,0.16743314823906075,1.0756874855161316,"{""bull_overlay"": 0.0, ""rerisk"": false}"
XAUUSD,4h,gold_spot,lower_risk_3pct,2004-06-11,2026-01-30,32960,1.0,0.1283888615009383,1.0161348442724187,-0.19873740345378055,0.6460226372575967,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.0035813429949018705,0.9854077118616947,158,0.8594022945617007,2.1807966761636632,0.7486953883495145,2017-06-05,0.15694973690048197,1.1608838431237412,-0.19414302175576525,0.16743314823906075,1.0756874855161316,"{""risk_pct_per_trade"": 0.03}"
XAUUSD,4h,gold_spot,no_short,2004-06-11,2026-01-30,32960,1.0,0.18893461045523008,1.0666227958414916,-0.23158204204755073,0.8158430972658759,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.06412709194919364,1.0400246186088504,130,1.0925639391369282,3.0,0.7031553398058252,2017-06-05,0.26983148682572144,1.3141730049255842,-0.15142705440506088,0.16743314823906075,1.0756874855161316,"{""allow_short"": false}"
XAUUSD,4h,gold_spot,no_rerisk,2004-06-11,2026-01-30,32960,1.0,0.1899961896622695,0.9658059137007573,-0.2921834389640737,0.6502633767878645,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.06518867115623306,0.936394735137255,158,1.1683687254807387,3.0,0.7486953883495145,2017-06-05,0.23805868813166042,1.0693749185806312,-0.2612249066075626,0.16743314823906075,1.0756874855161316,"{""rerisk"": false}"
XAUUSD,4h,gold_spot,small_overlay_025,2004-06-11,2026-01-30,32960,1.0,0.17999050532407734,1.0091703845136493,-0.2261260394328144,0.7959742530119153,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.0551829868180409,0.9778392065361617,158,0.9495053886572029,3.0,0.7486953883495145,2017-06-05,0.24025172449416532,1.1699466743590479,-0.1985806735565807,0.16743314823906075,1.0756874855161316,"{""bull_overlay"": 0.25}"
XAUUSD,4h,gold_spot,overlay_ema300_plain,2004-06-11,2026-01-30,32960,1.0,0.18823573354828804,1.0161103454267342,-0.2615286588504703,0.7197518404891616,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.0634282150422516,0.9856329556671114,152,1.0375483970329162,3.0,0.777245145631068,2017-06-05,0.25035883950985083,1.183384431660044,-0.2615286588504703,0.16743314823906075,1.0756874855161316,"{""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": false}"
XAUUSD,4h,gold_spot,faster_40_80,2004-06-11,2026-01-30,32960,1.0,0.1798434963323332,0.9362216219759614,-0.3335095179774964,0.5392454686839497,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.05503597782629677,0.901874154283648,168,1.2240643787082899,3.0,0.7660194174757281,2017-06-05,0.27006419700819806,1.2321975951715782,-0.24841713935109233,0.16743314823906075,1.0756874855161316,"{""long_entry_days"": 40, ""long_exit_days"": 15, ""short_entry_days"": 80, ""short_exit_days"": 40}"
XAUUSD,4h,gold_spot,slower_80_150,2004-06-11,2026-01-30,32960,1.0,0.17715256821173164,0.9943403959611481,-0.2571665845687724,0.6888630904702818,0.12480751850603644,0.7642826197578884,-0.4509255385902531,0.0523450497056952,0.9653336104057006,151,1.0754999379423014,3.0,0.7213895631067961,2017-06-05,0.23327788310633246,1.1506165427987387,-0.2344748454117237,0.16743314823906075,1.0756874855161316,"{""long_entry_days"": 80, ""long_exit_days"": 30, ""short_entry_days"": 150, ""short_exit_days"": 75}"
XAGUSD,4h,metals_fx,headline,2001-01-02,2023-09-29,36040,1.2,0.05710724480682661,0.3694812652265329,-0.5780790176162649,0.09878795643251492,0.07214023116567558,0.3821682130145949,-0.7583756345177665,-0.015032986358848976,0.3360708310651237,236,0.8751241275626638,2.6428678409031945,0.650527192008879,2014-08-25,-0.013929052572934197,0.016452265840422642,-0.465310734961663,0.015076332827338002,0.19031779342509514,{}
